report_date,supervisor,activity_code,wbs_code,wbs_name,qty_executed,unit,manpower_cost,equipment_cost,manpower_lines,equipment_lines,remarks
2026-03-05,vijaykumar,2.6.6(i)a,2.6,Pier,250.000,cu.m.,0,0,0,0,
2026-03-05,illayaraja,2.7.6 (i),2.7,Abutment,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,2.7.6 (i),2.7,Abutment,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,parvaiz,2.7.6 (i),2.7,Abutment,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,ismaila,3.2.6 (ii),3.2,Concrete RCC,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,3.2.6 (ii),3.2,Concrete RCC,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,parvaiz,3.2.6 (ii),3.2,Concrete RCC,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,saiffuddin,3.2.6 (ii)a,3.2,Concrete RCC,350.000,cu.m.,0,15000.00,0,2,
2026-03-05,illayaraja,5.1.7 (iii),5.1,Bearings,0.010,cu.m.,1600.00,0,1,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,5.1.7 (iii),5.1,Bearings,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,vijaykumar,5.1.7 (iii),5.1,Bearings,250.000,cu.m.,0,0,0,0,
2026-03-05,illayaraja,5.1.7 (iii)a,5.1,Bearings,0.010,sq.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,5.1.7 (iii)a,5.1,Bearings,0.010,sq.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,5.10.6 (i),5.10,Anchor Blocks,127.000,sq.m.,2000.00,0,1,0,
